Province,Lon,Lan,Plot_id,Cases,Population,GDP,Distance,PassengerTurnover,TravelConnection
Anhui,117.283043,31.861191,34,990,6324,37114,457,786.38,0.0253
Beijing,116.405289,39.904987,11,429,2154,35371,1171,154.57,0.013
Chongqing,106.504959,29.533155,50,576,3102,23605,1078,227.09,0.0154
Fujian,119.306236,26.075302,35,296,3941,42395,924,385.2,0.01
Gansu,103.83417,36.06138,62,124,2637,8718,1446,401.28,0.0041
Guangdong,113.28064,23.125177,44,1353,11346,107671,1021,953.75,0.0193
Guangxi,108.320007,22.82402,45,252,4926,21237,1215,462.26,0.0086
Guizhou,106.713478,26.578342,52,146,3600,16769,1278,322.82,0.0059
Hainan,110.19989,20.04422,46,168,934,5308,1615,52.06,0.0038
Hebei,114.502464,38.045475,13,318,7556,35104,955,1061.4,0.0116
Heilongjiang,126.642464,45.756966,23,481,3773,13612,2389,279.26,0.0033
Henan,113.665413,34.757977,41,1272,9605,54259,569,1063.29,0.0603
Hunan,112.982277,28.19409,43,1018,6899,39752,361,979.54,0.0357
Jiangsu,118.76741,32.041546,32,631,8051,99631,614,819.23,0.0167
Jiangxi,115.892151,28.676493,36,935,4648,24757,434,732.42,0.0227
Jilin,125.324501,43.886841,22,93,2704,11726,2137,273.33,0.0019
Liaoning,123.429092,41.796768,21,125,4359,24909,1827,641.29,0.0036
Nei Mongol,111.75199,40.84149,15,75,2534,17212,1514,214.71,0.0018
Ningxia Hui,106.23248,38.48644,64,75,688,3748,1471,40.78,0.0008
Qinghai,101.77782,36.61729,63,18,603,2965,1679,90.14,0.0007
Shanghai,121.472641,31.231707,31,342,10047,71067,919,783.28,0.012
Shandong,117.000923,36.675808,37,758,2424,38155,908,112.09,0.0091
Shanxi,112.549248,37.857014,14,133,3718,17026,997,234.23,0.0065
Shaanxi,108.948021,34.263161,61,245,3864,25793,813,510.36,0.0075
Sichuan,104.065735,30.659462,51,539,8341,46615,1455,410.25,0.0141
Tianjin,117.190186,39.125595,12,136,1560,14104,1187,199.9,0.0022
Xinjiang Uygur,87.61688,43.82663,65,76,2487,13597,3323,282.61,0.0025
Xizang,91.1145,29.64415,54,1,344,1697,3500,18.86,0.0002
Yunnan,102.71225,25.040609,53,174,4830,23223,1834,158.92,0.0055
Zhejiang,120.15358,30.287458,33,1215,5737,62352,860,694.56,0.0114
